Brand,Image,Link,Price,Condition,Mileage,Engine,Transmission,Body Type,Location
Perodua,https://www.oto.my/upload/image/2024/07/18/235735/s4-146578023.jpg,/car-for-sale/235735/used-2019-perodua-aruz-av-selangor/,"RM 55,800",Used,"90,000 - 94,999 km",1.5L,Automatic,MPV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/17/235722/s4-146333636.jpg,/car-for-sale/235722/used-2021-perodua-myvi-av-johor/,"RM 51,800",Used,"55,000 - 59,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/17/235711/s4-146581290.jpg,/car-for-sale/235711/used-2020-perodua-aruz-av-johor/,"RM 61,800",Used,"70,000 - 74,999 km",1.5L,Automatic,MPV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/17/235706/s4-146246289.jpg,/car-for-sale/235706/used-2022-perodua-ativa-h-pulau-pinang/,"RM 63,800",Used,"30,000 - 34,999 km",1.0L,Automatic,SUV,Pulau Pinang
Perodua,https://www.oto.my/upload/image/2024/07/17/235698/s4-145631282.jpg,/car-for-sale/235698/used-2019-perodua-myvi-av-selangor/,"RM 48,800",Used,"70,000 - 74,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/16/235684/s4-146309614.jpg,/car-for-sale/235684/used-2021-perodua-aruz-av-johor/,"RM 61,800",Used,"85,000 - 89,999 km",1.5L,Automatic,MPV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/13/235631/s4-144700807.jpg,/car-for-sale/235631/used-2019-perodua-aruz-av-johor/,"RM 56,800",Used,"85,000 - 89,999 km",1.5L,Automatic,MPV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/13/235623/s4-143480152.jpg,/car-for-sale/235623/used-2021-perodua-ativa-av-johor/,"RM 65,800",Used,"45,000 - 49,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/13/235619/s4-144694512.jpg,/car-for-sale/235619/used-2019-perodua-myvi-x-johor/,"RM 42,800",Used,"90,000 - 94,999 km",1.3L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/12/235615/s4-145531319.jpg,/car-for-sale/235615/used-2019-perodua-myvi-av-selangor/,"RM 50,900",Used,"75,000 - 79,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/12/235608/s4-144699003.jpg,/car-for-sale/235608/used-2020-perodua-myvi-x-johor/,"RM 44,800",Used,"95,000 - 99,999 km",1.3L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/12/235602/s4-145027217.jpg,/car-for-sale/235602/used-2021-perodua-ativa-av-selangor/,"RM 66,800",Used,"50,000 - 54,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/11/235568/s4-143485694.jpg,/car-for-sale/235568/used-2022-perodua-ativa-h-johor/,"RM 65,800",Used,"10,000 - 14,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/10/235561/s4-144999797.jpg,/car-for-sale/235561/used-2020-perodua-aruz-av-negeri-sembilan/,"RM 62,900",Used,"75,000 - 79,999 km",1.5L,Automatic,MPV,Negeri Sembilan
Perodua,https://www.oto.my/upload/image/2024/07/09/235518/s4-143260780.jpg,/car-for-sale/235518/used-2021-perodua-myvi-g-johor/,"RM 45,900",Used,"95,000 - 99,999 km",1.3L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/08/235489/s4-141683785.jpg,/car-for-sale/235489/used-2017-perodua-myvi-av-johor/,"RM 46,900",Used,"65,000 - 69,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/06/235481/s4-143621469.jpg,/car-for-sale/235481/used-2021-perodua-ativa-h-selangor/,"RM 64,800",Used,"25,000 - 29,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/06/235480/s4-143260803.jpg,/car-for-sale/235480/used-2020-perodua-myvi-av-johor/,"RM 52,900",Used,"35,000 - 39,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/06/235472/s4-143670717.jpg,/car-for-sale/235472/used-2022-perodua-ativa-h-selangor/,"RM 61,800",Used,"80,000 - 84,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/04/235428/s4-142833650.jpg,/car-for-sale/235428/used-2021-perodua-ativa-av-selangor/,"RM 66,900",Used,"60,000 - 64,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/29/235347/s4-141182658.jpg,/car-for-sale/235347/used-2021-perodua-ativa-av-johor/,"RM 68,900",Used,"50,000 - 54,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/06/29/235344/s4-141681987.jpg,/car-for-sale/235344/used-2021-perodua-myvi-av-selangor/,"RM 53,900",Used,"65,000 - 69,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/27/235307/s4-141197186.jpg,/car-for-sale/235307/used-2021-perodua-ativa-av-selangor/,"RM 67,900",Used,"60,000 - 64,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/27/235296/s4-140931920.jpg,/car-for-sale/235296/used-2021-perodua-ativa-av-selangor/,"RM 68,900",Used,"95,000 - 99,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/06/24/235245/s4-140744172.jpg,/car-for-sale/235245/used-2019-perodua-aruz-av-negeri-sembilan/,"RM 62,900",Used,"55,000 - 59,999 km",1.5L,Automatic,MPV,Negeri Sembilan
Perodua,https://www.oto.my/upload/image/2024/06/21/235197/s4-139304546.jpg,/car-for-sale/235197/used-2021-perodua-ativa-av-pulau-pinang/,"RM 68,900",Used,"70,000 - 74,999 km",1.0L,Automatic,SUV,Pulau Pinang
